"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","P90P10","RT","A","2018",4.3,
"AUT","INCOMEINEQ","P90P10","RT","A","2018",3.5,
"BEL","INCOMEINEQ","P90P10","RT","A","2018",3.2,
"CAN","INCOMEINEQ","P90P10","RT","A","2018",4,
"CZE","INCOMEINEQ","P90P10","RT","A","2018",3,
"DNK","INCOMEINEQ","P90P10","RT","A","2018",3,
"FIN","INCOMEINEQ","P90P10","RT","A","2018",3.1,
"FRA","INCOMEINEQ","P90P10","RT","A","2018",3.5,
"DEU","INCOMEINEQ","P90P10","RT","A","2018",3.6,
"GRC","INCOMEINEQ","P90P10","RT","A","2018",4.1,
"HUN","INCOMEINEQ","P90P10","RT","A","2018",3.4,
"IRL","INCOMEINEQ","P90P10","RT","A","2018",3.5,
"ITA","INCOMEINEQ","P90P10","RT","A","2018",4.6,
"JPN","INCOMEINEQ","P90P10","RT","A","2018",5.2,
"KOR","INCOMEINEQ","P90P10","RT","A","2018",5.5,
"LUX","INCOMEINEQ","P90P10","RT","A","2018",4.1,
"MEX","INCOMEINEQ","P90P10","RT","A","2018",6.4,
"NLD","INCOMEINEQ","P90P10","RT","A","2018",3.3,
"NOR","INCOMEINEQ","P90P10","RT","A","2018",3.1,
"POL","INCOMEINEQ","P90P10","RT","A","2018",3.6,
"PRT","INCOMEINEQ","P90P10","RT","A","2018",4.1,
"SVK","INCOMEINEQ","P90P10","RT","A","2018",3,
"ESP","INCOMEINEQ","P90P10","RT","A","2018",4.8,
"SWE","INCOMEINEQ","P90P10","RT","A","2018",3.3,
"CHE","INCOMEINEQ","P90P10","RT","A","2018",3.8,
"TUR","INCOMEINEQ","P90P10","RT","A","2018",5.4,
"GBR","INCOMEINEQ","P90P10","RT","A","2018",4.5,
"USA","INCOMEINEQ","P90P10","RT","A","2018",6.3,
"EST","INCOMEINEQ","P90P10","RT","A","2018",4.7,
"ISR","INCOMEINEQ","P90P10","RT","A","2018",5.3,
"SVN","INCOMEINEQ","P90P10","RT","A","2018",3.1,
"LVA","INCOMEINEQ","P90P10","RT","A","2018",5.3,
"LTU","INCOMEINEQ","P90P10","RT","A","2018",5.4,
"CRI","INCOMEINEQ","P90P10","RT","A","2018",10.2,
"BGR","INCOMEINEQ","P90P10","RT","A","2018",5.8,
"ROU","INCOMEINEQ","P90P10","RT","A","2018",6,
